"","DateT","Sighting_no","StartPos","Min","Best","Max","Dist","Bearing","PS","Behaviour","Species.x","Pic_no","EndPos","Grp_no","Biopsy","Comments","TimeEnd","elemk","typdat","varn","pdat","Latitude_decimal","Longitude_decimal","id","Genus","lat_name","Species.y","dist","Date","SST_6am","time_diff","wind_speed","visibility"
"123",2021-08-19 11:33:00,92,"43d50.2972N 58d53.3685W",6,7,9,100,45,"S",NA,"pilot whale","C1:     C2:","43d50.2917N 58d53.6631W",1,NA,"very close to bottlenose",2021-08-19 11:58:00,NA,NA,NA,NA,43.8382866666667,58.889475,123,"Glob","Globicephala melas","pilot whale",0,2021-08-19,20.8,29,10,5
"124",2021-08-19 11:25:00,91,"43d50.824N 58d54.0626W",6,6,7,500,60,"P",NA,"northern bottlenose","C1: 7993 - 8109     C2: 6162 - 6300","43d50.2623N 58d53.4279W",1,NA,"6 or more pilot whales very close, remaining with bottlenose (11:25), two more bottlenose joining (11:25), drone up 11:51, drone down 12:04",2021-08-19 12:00:00,NA,NA,NA,NA,43.8470666666667,58.9010433333333,124,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,37,10,5
"125",2021-08-19 12:10:00,93,"43d50.5624N 58d53.8425W",3,3,3,30,40,"S","Trav Mill","northern bottlenose","C1:     C2:","d  d",1,NA,"some of same individuals from last group of 6",2021-08-19 12:20:00,NA,NA,NA,NA,43.8427066666667,58.897375,125,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,8,10,5
"126",2021-08-19 12:50:00,94,"43d50.2165N 58d53.5494W",1,1,1,300,180,"S",NA,"northern bottlenose","C1:     C2:","43d50.1628N 58d53.6798W",1,NA,"na",2021-08-19 12:50:00,NA,NA,NA,NA,43.8369416666667,58.89249,126,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,48,10,5
"127",2021-08-19 13:25:00,96,"d  d",2,2,2,50,30,"P",NA,"sowerby's","C1:     C2:","d  d",1,NA,"na",2021-08-19 13:27:00,NA,NA,NA,NA,NA,NA,127,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-19,20.8,1.38333333333333,10,5
"128",2021-08-19 13:01:00,95,"43d50.1341N 58d53.6741W",6,6,6,300,30,"P",NA,"northern bottlenose","C1: 8112-8214    C2:6301-6434","d  d",1,NA,"moving fast, first 6 then only 5",2021-08-19 13:20:00,NA,NA,NA,NA,43.8355683333333,58.8945683333333,128,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,59,10,5
"129",2021-08-19 13:33:00,97,"43d49.9489N 58d53.7255W",8,8,8,50,45,"P","Trav Brea Mill","sowerby's","C1:.8215-8274     C2: 6448","d  d",1,NA,"with NBW, breaching all at a time",2021-08-19 13:51:00,NA,NA,NA,NA,43.8324816666667,58.895425,129,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-19,20.8,1.43333333333333,7,4
"130",2021-08-19 13:32:00,96,"43d49.9181N 58d53.6758W",4,4,4,400,20,"P",NA,"northern bottlenose","C1: 8275-8307   C2:6435-6447;6498-6543","43d49.9312N 58d53.484W",1,NA,"with Sowerby' s, first saw 4 then 2",2021-08-19 13:50:00,NA,NA,NA,NA,43.8319683333333,58.8945966666667,130,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,1.45,7,4
"131",2021-08-19 14:42:00,97,"43d50.207N 58d53.5323W",2,2,2,300,90,"P",NA,"northern bottlenose","C1:     C2:6545-6571","d  d",1,NA,"na",2021-08-19 14:59:00,NA,NA,NA,NA,43.8367833333333,58.892205,131,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,17,7,4
"132",2021-08-19 15:16:00,98,"43d51.1579N 58d54.2837W",3,3,3,300,20,"P",NA,"northern bottlenose","C1:    C2:6593-6578","d  d",1,NA,"didnt get them",2021-08-19 15:35:00,NA,NA,NA,NA,43.8526316666667,58.9047283333333,132,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,17,7,4
"133",2021-08-19 15:36:00,99,"43d51.3017N 58d54.5129W",4,4,4,400,30,"S",NA,"northern bottlenose","C1:     C2:","43d51.109N 58d54.7969W",1,NA,"na",2021-08-19 15:45:00,NA,NA,NA,NA,43.8550283333333,58.9085483333333,133,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,37,7,4
"134",2021-08-19 15:50:00,100,"43d50.9361N 58d54.824W",2,2,2,400,45,"S",NA,"northern bottlenose","C1:     C2:","d  d",1,NA,"na",2021-08-19 15:50:00,NA,NA,NA,NA,43.848935,58.9137333333333,134,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,51,7,4
"135",2021-08-19 15:59:00,101,"43d50.6751N 58d54.8104W",3,3,3,400,30,"S","Trav","northern bottlenose","C1:     C2:","43d49.7993N 58d55.2598W",1,NA,"no photos",2021-08-19 16:01:00,NA,NA,NA,NA,43.844585,58.9135066666667,135,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,1,7,4
"136",2021-08-19 16:34:00,103,"43d49.0994N 58d54.9719W",1,1,1,60,50,"S","Trav","pilot whale","C1:     C2:","d  d",1,NA,"na",2021-08-19 16:35:00,NA,NA,NA,NA,43.8183233333333,58.9161983333333,136,"Glob","Globicephala melas","pilot whale",0,2021-08-19,20.8,1.43333333333333,19,0.7
"137",2021-08-19 16:25:00,102,"43d49.7499N 58d55.2428W",3,3,3,300,20,"P",NA,"northern bottlenose","C1:     C2:","d  d",1,NA,"na",2021-08-19 16:30:00,NA,NA,NA,NA,43.829165,58.9207133333333,137,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-19,20.8,1.43333333333333,7,4
"138",2021-08-19 17:43:00,103,"43d50.7405N 58d55.1989W",1,1,1,600,160,"S","Brea","sowerby's","C1:     C2:","43d50.7557N 58d55.2024W",1,NA,"na",2021-08-19 17:44:00,NA,NA,NA,NA,43.845675,58.9199816666667,138,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-19,20.8,17,19,0.7
"139",2021-08-19 18:25:00,104,"43d51.483N 58d55.7024W",2,2,2,20,180,"P","Trav","pilot whale","C1:     C2:","43d51.499N 58d55.7206W",1,NA,"na",2021-08-19 18:40:00,NA,NA,NA,NA,43.85805,58.9283733333333,139,"Glob","Globicephala melas","pilot whale",0,2021-08-19,20.8,25,19,0.7
"140",2021-08-19 19:30:00,105,"43d52.4991N 58d56.6674W",1,1,1,25,45,"S","Trav","risso's dolphin","C1:     C2:","d  d",1,NA,"na",2021-08-19 19:31:00,NA,NA,NA,NA,43.874985,58.9444566666667,140,"Gram","Grampus griseus","risso’s dolphin",0.0444444444444445,2021-08-19,20.8,1.5,19,0.7
"141",2021-08-20 10:37:00,107,"43d52.7177N 58d55.5095W",1,2,2,375,35,"S","Trav","northern bottlenose","C1:     C2:","d  d",1,NA,"na",2021-08-20 10:45:00,NA,NA,NA,NA,43.8786283333333,58.9251583333333,141,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-20,20.9,1.4,15,3
"142",2021-08-20 11:10:00,108,"43d51.9995N 58d54.3983W",2,2,3,400,20,"P","Trav","northern bottlenose","C1:     C2:","d  d",1,NA,"possibly a calf",2021-08-20 11:15:00,NA,NA,NA,NA,43.8666583333333,58.9066383333333,142,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-20,20.9,51,15,3
"143",2021-08-20 12:40:00,109,"43d49.5626N 58d53.1418W",6,6,6,200,165,"S","Trav Rest Brea","northern bottlenose","C1: 8308 - 8372    C2:6596 - 6627","43d49.6301N 58d51.727W",1,NA,"traveling quite quickly, possibly towards additional group .approx. 500m in distance, some joined forming group of 6",2021-08-20 13:16:00,NA,NA,NA,NA,43.8260433333333,58.8856966666667,143,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-20,20.9,39,15,3
"144",2021-08-20 14:20:00,110,"43d51.0336N 58d53.9331W",3,3,3,50,60,"P","Trav Social Bow","risso's dolphin","C1:     C2:","43d51.1443N 58d54.1387W",1,NA,"na",2021-08-20 14:23:00,NA,NA,NA,NA,43.85056,58.898885,144,"Gram","Grampus griseus","risso’s dolphin",0.0444444444444445,2021-08-20,20.9,43,15.5,0.1
"145",2021-08-20 15:38:00,112,"43d51.8745N 58d56.8069W",1,1,1,20,90,"P",NA,"atlantic white side","C1:     C2:","43d51.8764N 58d56.8479W",1,NA,"na",2021-08-20 15:42:00,NA,NA,NA,NA,43.864575,58.9467816666667,145,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-20,20.9,35,15.5,0.1
"146",2021-08-20 15:36:00,111,"43d51.8597N 58d56.7474W",5,5,5,70,30,"P","Rest Mill","northern bottlenose","C1:  8374-8430   C2:6630 - 6676","43d51.5491N 58d57.1505W",1,NA,"na",2021-08-20 16:06:00,NA,NA,NA,NA,43.8643283333333,58.94579,146,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-20,20.9,33,15.5,0.1
"147",2021-08-20 16:35:00,113,"43d50.7251N 58d54.9699W",1,1,2,50,160,"S",NA,"risso's","C1:     C2:","d  d",1,NA,"na",2021-08-20 16:45:00,NA,NA,NA,NA,43.8454183333333,58.916165,147,"Gram","Grampus griseus","risso’s dolphin",0.247619047619048,2021-08-20,20.9,1.53333333333333,15.5,0.1
"148",2021-08-21 06:10:00,116,"44d6.5113N 57d59.6614W",4,4,6,10,150,"P","Bow","common dolphin","C1:     C2:","d  d",1,NA,"na",2021-08-21 06:18:00,NA,NA,NA,NA,44.1085216666667,57.9943566666667,148,"Del","Delphinus delphis","common dolphin",0,2021-08-21,19.7,5,10.5,0.1
"149",2021-08-21 07:08:00,117,"44d10.1475N 57d56.1645W",20,25,30,20,20,"S","Trav Bow","atlantic white side","C1:     C2:","d  d",1,NA,"na",2021-08-21 07:09:00,NA,NA,NA,NA,44.169125,57.936075,149,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-21,19.7,1.05,10.5,0.1
"150",2021-08-21 13:19:00,119,"44d5.6221N 58d13.4124W",10,15,30,50,5,"S",NA,"atlantic white side","C1:     C2:","d  d",1,NA,"na",2021-08-21 13:21:00,NA,NA,NA,NA,44.0937016666667,58.22354,150,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-21,19.7,1.33333333333333,21.6,1.5
"151",2021-08-21 17:23:00,120,"43d59.8287N 58d24.0594W",20,25,30,50,90,"S","Trav","atlantic white side","C1:     C2:","d  d",1,NA,"na",2021-08-21 17:24:00,NA,NA,NA,NA,43.997145,58.40099,151,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-21,19.7,40,15,5
"152",2021-08-21 17:26:00,121,"43d59.7317N 58d24.3573W",10,15,20,200,120,"S","Trav","atlantic white side","C1:     C2:","d  d",1,NA,"na",2021-08-21 17:27:00,NA,NA,NA,NA,43.9955283333333,58.405955,152,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-21,19.7,37,15,5
"153",2021-08-22 07:10:00,122,"43d51.5713N 58d54.0757W",10,15,20,10,45,"P","Trav Mill","common dolphin","C1:     C2:","d  d",1,NA,"na",2021-08-22 07:16:00,NA,NA,NA,NA,43.8595216666667,58.9012616666667,153,"Del","Delphinus delphis","common dolphin",0,2021-08-22,20.2,1.11666666666667,6.5,2.5
